,para,dates,para_lemma,len,year,avg_year,num_years,year_25group,year_50group
559,"The danger as U.S. officials began to perceive it, however, was not merely that Spain’s brutality could not end the conflict. The danger was that Spain would lose its control to Cuban revolutionaries who were uniting as the proautonomy and proannexation groups splintered. “There may be a revolution within a revolution,” U.S. Consul Fitzhugh Lee warned the State Department in 1897. “In that case foreigners will have to look to their government for protection and the preservation of peace.”5 North Americans could have come face-to-face at this point with their first twentieth-century revolution. They instead supported William McKinley and the first twentieth-century presidency.","['1897', 'twentieth-century', 'twentieth-century']",danger u.s official begin perceive merely spain ’s brutality end conflict danger spain lose control cuban revolutionary unite proautonomy proannexation group splinter “ revolution revolution ” u.s consul fitzhugh lee warn state department 1897 “ case foreigner look government protection preservation peace.”5 north american come face face point twentieth century revolution instead support william mckinley twentieth century presidency,58,[1897],1897,1,1900,1900
560,"Born in Niles, Ohio, in 1843, McKinley had been a Civil War hero. Elected to Congress in 1876, he had risen to the top rank of House leadership by 1890, only to be gerrymandered out of his district. He promptly ran for governor and won two terms between 1891 and 1895, despite having to handle massive labor unrest during the economic crash. By the mid-1890s he not only had survived Ohio politics, won the support of capital, and become a trusted friend of AFL leader Samuel Gompers, but also was acknowledged to be a leading expert on tariff policy and the political-economic needs of the Second Industrial Revolution. The first president whose inaugural parade was recorded by the new motion-picture camera, McKinley understood both the dangers of the long economic depression and the government’s necessary role in ending it. “The restoration of confidence and the revival of business …,” he declared, “depend more largely upon the prompt, energetic, and intelligent action of Congress than upon any other single agency affecting the situation.” McKinley was explicit. His “greatest ambition,” he told Wisconsin governor Robert LaFollette, was to attain U.S. supremacy in world markets.6","['1843', '1876', '1890', 'between 1891 and 1895', 'the mid-1890s']",bear niles ohio 1843 mckinley civil war hero elect congress 1876 rise rank house leadership 1890 gerrymander district promptly run governor win term 1891 1895 despite have handle massive labor unrest economic crash mid-1890 survive ohio politic win support capital trusted friend afl leader samuel gomper acknowledge lead expert tariff policy political economic need second industrial revolution president inaugural parade record new motion picture camera mckinley understand danger long economic depression government ’s necessary role end “ restoration confidence revival business … ” declare “ depend largely prompt energetic intelligent action congress single agency affect situation ” mckinley explicit “ great ambition ” tell wisconsin governor robert lafollette attain u.s supremacy world markets.6,113,"[1843, 1876, 1890, 1890]",1875,4,1900,1900
561,"To reach that pinnacle, the new president demanded that Congress pass two special measures. The first was a refined version of McKinley’s 1890 tariff measure. He wanted it all: “I believe in practical reciprocity,” he told a friend in 1895, a policy that “while seeking the world’s markets for our surplus products shall not destroy American wages or surrender American markets for products which can be made at home.” When he used a close variation of that sentence before the National Association of Manufacturers convention in 1895, he brought the audience to its feet in applause. John Hay, whom McKinley appointed ambassador to Great Britain in 1897, accurately characterized the theme of another, similar presidential speech to the NAM in early 1898: “The greatest destiny the world ever knew is ours.” The Dingley Tariff of 1897 did not give McKinley all he wanted; it nevertheless did refine and advance the reciprocity principle. John Kasson negotiated eleven such treaties, but at the time of McKinley’s death in 1901, the Senate had not acted on any of them.","['1890', '1895', '1895', '1897', 'early 1898', '1897', '1901']",reach pinnacle new president demand congress pass special measure refined version mckinley ’s 1890 tariff measure want “ believe practical reciprocity ” tell friend 1895 policy “ seek world ’s market surplus product shall destroy wage surrender market product home ” close variation sentence national association manufacturer convention 1895 bring audience foot applause john hay mckinley appoint ambassador great britain 1897 accurately characterize theme similar presidential speech nam early 1898 “ great destiny world know ” dingley tariff 1897 mckinley want refine advance reciprocity principle john kasson negotiate treaty time mckinley ’s death 1901 senate act,96,"[1890, 1895, 1895, 1897, 1898, 1897, 1901]",1896,7,1900,1900
562,"The second piece of legislation the president demanded was a gold standard act that would kill the silverite demands once and for all. McKinley had been a bimetalist and even wanted more silver coinage early in his career. By the 1890s he was a convinced gold advocate. His halfhearted approach to the British for a conference to discuss bimetalism had been rebuffed in late 1897, as McKinley probably knew it would be. Not only did the powerful banks in the City of London oppose such a proposal, but also “all the American banking interest has been enlisted in opposition,” Hay reported from London. The need for more money in circulation to finance an economic takeoff was being solved by both the discovery of more gold and a rising U.S. export table – a table that reported an unfavorable balance of $18.7 million in 1893, then a favorable $286 million balance in 1897, and double that amount in 1898. Exports soared over the billion-dollar mark in 1897. By 1900, McKinley had his Gold Standard Act, which declared the gold dollar to be the only currency standard. All other forms of money were to be maintained at parity with gold. The gold standard, Secretary of the Treasury Lyman Gage explained, enabled “us in our commercial affairs to measure with the same measure by which the industrial and commercial affairs of our great industrial competitors measure with.” Such a “great economic value,” Gage believed, “is worth very great sacrifice, if need be, to maintain it.” The tariff and the gold standard, combined with the new U.S. navy and closer government-business relations, created a “promotional state,” as historian Emily Rosenberg termed it, to push and protect U.S. business abroad.7","['the 1890s', 'late 1897', '1893', '1897', '1898', '1897', '1900']",second piece legislation president demand gold standard act kill silverite demand mckinley bimetalist want silver coinage early career 1890s convinced gold advocate halfhearted approach british conference discuss bimetalism rebuff late 1897 mckinley probably know powerful bank city london oppose proposal “ banking interest enlist opposition ” hay report london need money circulation finance economic takeoff solve discovery gold rise u.s export table – table report unfavorable balance 18.7 million 1893 favorable 286 million balance 1897 double 1898 export soar billion dollar mark 1897 1900 mckinley gold standard act declare gold dollar currency standard form money maintain parity gold gold standard secretary treasury lyman gage explain enable “ commercial affair measure measure industrial commercial affair great industrial competitor measure ” “ great economic value ” gage believe “ worth great sacrifice need maintain ” tariff gold standard combine new u.s navy close government business relation create “ promotional state ” historian emily rosenberg term push protect u.s business abroad.7,158,"[1890, 1897, 1893, 1897, 1898, 1897, 1900]",1896,7,1900,1900
563,"The post-1873 depression had forced tremendous sacrifices from Americans, but despite being in national politics much of the time, McKinley received little blame. He instead represented, as Henry Adams observed, “the instinct of what might be named McKinleyism: the system of combinations, consolidations, trusts, realized at home, and realizable abroad.” Adams, who was cynical about nearly everyone he watched from his home across Lafayette Square and the White House, called McKinley “a marvelous manager of men. McKinley found several manipulators to help him, one of whom was [John] Hay.”8",['post-1873'],post-1873 depression force tremendous sacrifice american despite national politic time mckinley receive little blame instead represent henry adams observe “ instinct name mckinleyism system combination consolidation trust realize home realizable abroad adam cynical nearly watch home lafayette square white house call mckinley “ marvelous manager man mckinley find manipulator help john hay.”8,52,[1873],1873,1,1875,1900
564,"Power was centralizing into presidential hands. This change, a transforming event in American history, began before the foreign policy watershed of the post-1898 years, but the change was shaped by that foreign policy. As historian Walter Dean Burnham described the results from what he termed the “system of 1896,” a “fairly democratic regime” was converted into “a rather broadly based oligarchy.” McKinley helped create and then manipulated this system to his advantage. In the first instance, he named a new cabinet that included fewer appointees with independent political bases, and more administrators whose political power depended on their allegiance to him. The new presidency – and the new industrializing, urbanizing, internationalizing United States – required a cabinet made up not merely of political representatives but of persons experienced in administering complex organizations in a world made smaller by communication and transportation technology. McKinley thus named as his secretary of state John Sherman, senator from Ohio, but only to create room in the Senate for the appointment of the president’s campaign manager, Mark Hanna. The de facto secretary of state was McKinley’s little-known, longtime Ohio friend William R. Day; he was followed by Hay (1898–1905), Elihu Root (1905–9), and Philander C. Knox (1909–13). All these men were widely experienced in the ways of corporate America and, without strong political bases of their own, dependent on the president’s will. In a centripetal-centrifugal effect, as U.S. foreign policy spread globally, authority over that policy centralized in the chief executive’s office.","['the post-1898 years', '1896', '–']",power centralize presidential hand change transform event history begin foreign policy watershed post-1898 year change shape foreign policy historian walter dean burnham describe result term “ system 1896 ” “ fairly democratic regime ” convert “ broadly base oligarchy ” mckinley help create manipulate system advantage instance name new cabinet include few appointee independent political base administrator political power depend allegiance new presidency – new industrialize urbanize internationalize united state – require cabinet merely political representative person experience administer complex organization world small communication transportation technology mckinley name secretary state john sherman senator ohio create room senate appointment president ’s campaign manager mark hanna de facto secretary state mckinley ’s little know longtime ohio friend william r. day follow hay 1898–1905 elihu root 1905–9 philander c. knox 1909–13 man widely experience way corporate america strong political base dependent president ’s centripetal centrifugal effect u.s foreign policy spread globally authority policy centralize chief executive ’s office,155,"[1898, 1896]",1897,2,1900,1900
565,"Presidential-congressional relations went through a similar transformation. Republican majorities in both the House and Senate increased steadily between 1897 and 1904; by the later date the Republicans controlled the Senate 53–29 (with 8 third-party representatives), and the House 198–151 (with 8 independents). The Senate, where the foreign policy fulcrum lay, was run as a club by a tight group of insiders who enjoyed immense power in shaping domestic affairs but usually deferred to McKinley in the foreign policy realm. The factions were closely linked to the post–Civil War economic interests. In 1902 political analyst Moisei Ostrogorski stated these interests “equipped and kept up political organizations for their own use, and ran them as they pleased, like their trains.”","['between 1897 and 1904', 'the later date', '53–29', '1902']",presidential congressional relation go similar transformation republican majority house senate increase steadily 1897 1904 later date republicans control senate 53–29 8 party representative house 198–151 8 independent senate foreign policy fulcrum lay run club tight group insider enjoy immense power shape domestic affair usually defer mckinley foreign policy realm faction closely link post – civil war economic interest 1902 political analyst moisei ostrogorski state interest “ equip keep political organization use run please like train,75,[1902],1902,1,1925,1950
566,"This view was only slightly exaggerated when applied to Washington decision making. The president’s role, one that McKinley and Roosevelt played brilliantly, was to provide an overarching foreign policy that benefited as many of these interests as possible. As the cosmopolitan of the system, the president created a policy that helped those functional groups that, in turn, most enriched the national interest – even if it meant, as it sometimes did, knocking heads in Congress to have the president’s program accepted. In the 1880s, recalled Massachusetts Republican senator George F. Hoar, senators visited the White House only to give advice.9 By 1898 they visited McKinley to receive advice as well. They then returned to a Senate where party loyalty, presidential patronage, and well-oiled caucus machinery delivered the vote for the White House. This was not always done easily. The president waged and won one of the toughest and historically significant battles in April 1898, when he took the country into war with Spain. First, however, he had to avoid an Asian crisis.","['the 1880s', '1898', 'April 1898']",view slightly exaggerated apply washington decision making president ’s role mckinley roosevelt play brilliantly provide overarch foreign policy benefit interest possible cosmopolitan system president create policy help functional group turn enrich national interest – mean knock head congress president ’s program accept 1880s recall massachusetts republican senator george f. hoar senator visit white house advice.9 1898 visit mckinley receive advice return senate party loyalty presidential patronage oil caucus machinery deliver vote white house easily president wag win tough historically significant battle april 1898 take country war spain avoid asian crisis,90,"[1880, 1898, 1898]",1892,3,1900,1900
567,"It was a measure of the new U.S. global power and the extent of American foreign interests that in 1897–8, McKinley was nearly drawn into a confrontation in Asia even as the nation’s eyes focused on Cuba and domestic problems. American interests in Asia were not military; in the late 1890s Great Britain had more battleships stationed in Asia than McKinley had first-class ships in his entire fleet. The interests were economic and missionary, and these had to be protected by Seward’s innovation of political cooperation with the powers and, if necessary, cooperative use of force. Missionaries, with help from Washington, which demanded such rights, were finally gaining permission from the Chinese government to work in some of the interior regions and not only along the seacoast. Meanwhile, the export of U.S. cotton goods to China jumped from $1.7 million in 1895 to $4 million in 1896, and $7.4 million in 1897.10","['the late 1890s', '1895', '1896']",measure new u.s global power extent foreign interest 1897–8 mckinley nearly draw confrontation asia nation ’s eye focus cuba domestic problem interest asia military late 1890s great britain battleship station asia mckinley class ship entire fleet interest economic missionary protect seward ’s innovation political cooperation power necessary cooperative use force missionary help washington demand right finally gain permission chinese government work interior region seacoast export u.s cotton good china jump 1.7 million 1895 4 million 1896 7.4 million 1897.10,79,"[1890, 1895, 1896]",1894,3,1900,1900
568,"This apparent realization (at last) of the fabled China market was suddenly threatened in 1896–7. The European powers, led by Russia, had begun to roll back Japan’s gains from its 1894–5 war with China. In 1897–8, Germany, using as an excuse the murder of two of its missionaries, forced China to cede part of the strategic Shantung region that opened into the potentially vast markets of Manchuria. Germany received rights to build railroads and exploit mines. The Russians were already roping off parts of Manchuria for a terminal point of their Trans-Siberian Railway.","['1896–7', '1894–5']",apparent realization fabled china market suddenly threaten 1896–7 european power lead russia begin roll japan ’s gain 1894–5 war china 1897–8 germany excuse murder missionary force china cede strategic shantung region open potentially vast market manchuria germany receive right build railroad exploit mine russian rope part manchuria terminal point trans siberian railway,52,"[1896, 1894]",1895,2,1900,1900
569,"As the confrontation became a crisis in early 1898, Great Britain approached McKinley for a joint British-American-Japanese response. Hay strongly advised cooperation. On January 31, 1898, U.S. minister to China Charles Denby wired excitedly to the State Department that Germany and Russia had to be stopped: “Partition would tend to destroy our markets. The Pacific Ocean is destined to bear on its bosom a larger commerce than the Atlantic,” and in a whole, noncolonized Asia, “we are destined to find our best customers.” Publicly, a McKinley mouthpiece in the Northeast, the New York Tribune, declared in March 1898 that “Slav-Tatar-Cossack rule means tyranny, ignorance, reaction. Japanese rule means freedom, enlightenment, progress. If in a contest between the two opposite principles the latter does not win the human race will suffer a dire catastrophe.”12","['early 1898', 'January 31, 1898', 'March 1898']",confrontation crisis early 1898 great britain approach mckinley joint british japanese response hay strongly advise cooperation january 31 1898 u.s minister china charles denby wire excitedly state department germany russia stop “ partition tend destroy market pacific ocean destine bear bosom large commerce atlantic ” noncolonized asia “ destine find good customer ” publicly mckinley mouthpiece northeast new york tribune declare march 1898 “ slav tatar cossack rule mean tyranny ignorance reaction japanese rule mean freedom enlightenment progress contest opposite principle win human race suffer dire catastrophe.”12,87,"[1898, 1898, 1898]",1898,3,1900,1900
570,"The problem, however, was that the president had a major crisis on his doorstep to deal with before he could free his hands to deal with the great questions of U.S. interests in Asia. As Day explained to the British in mid-March 1898, the United States sympathized with London’s (and Japan’s) policy, but the Cuban uprising made immediate U.S. cooperation impossible. The delay was made more tolerable when assurances came in from reluctant Berlin and St. Petersburg officials that they would agree to keep China’s ports open to world commerce. How dependable such assurances were was not clear to McKinley, who, as his private secretary noted, “appeared careworn, did not look well, and his eyes had a far away, deep set expression in them.”13","['As Day', 'mid-March 1898']",problem president major crisis doorstep deal free hand deal great question u.s interest asia day explain british mid march 1898 united state sympathize london ’s japan ’s policy cuban uprising immediate u.s cooperation impossible delay tolerable assurance come reluctant berlin st petersburg official agree china ’s port open world commerce dependable assurance clear mckinley private secretary note “ appear careworn look eye far away deep set expression them.”13,68,[1898],1898,1,1900,1900
571,"McKinley had good reason to appear careworn. He was about to lead the nation into war despite grave personal misgivings. He had little choice. The demands of the post–Civil War American system – at home, in the Caribbean, in Asia – required war. In his inaugural, McKinley had noted the delicate situation, and then declared, “We want no wars of conquest; we must avoid the temptation of territorial aggression.” This theme had been common to American statecraft after the Civil War as U.S. interests turned from continental territory to international markets. McKinley, however, meant it. His primary problem was to restore the nation’s economy. Foreign policy had to fit that objective. Consequently, throughout 1897 McKinley pushed Spain to end the revolt by granting more autonomy and stopping “Butcher” Weyler’s concentration camp policies. In November, Madrid recalled Weyler and outlined an autonomy plan that the rebels rejected and McKinley found disappointing.","['–', '1897', 'November']",mckinley good reason appear careworn lead nation war despite grave personal misgiving little choice demand post – civil war system – home caribbean asia – require war inaugural mckinley note delicate situation declare “ want war conquest avoid temptation territorial aggression ” theme common statecraft civil war u.s interest turn continental territory international market mckinley mean primary problem restore nation ’s economy foreign policy fit objective consequently 1897 mckinley push spain end revolt grant autonomy stop “ butcher ” weyler ’s concentration camp policy november madrid recall weyler outline autonomy plan rebel reject mckinley find disappointing,96,[1897],1897,1,1900,1900
572,"The turn to war occurred in January and February 1898. On January 12 Spanish army officers destroyed a Cuban newspaper that had attacked Weyler. Street riots erupted in Havana. Madrid disavowed the attack and promised calm, but McKinley apparently began to assume at this point that Spain could no longer maintain order. He dispatched the warship Maine to Havana harbor, ostensibly on a goodwill visit, in reality to protect U.S. citizens and property. In late February, the president’s view of Spain was reinforced by a long letter from E. A. Fuertes, a professor of engineering at Cornell University. Fuertes wrote that “Spain stands upon a volcano about to break into fearful eruption and needing only a misstep to precipitate a desolating revolution from the French frontier to the Mediterranean.” Familiar with the Iberian Peninsula, Fuertes emphasized that Spain was politically isolated in Europe. “A foreign war may tide Spain over its present crisis,” but it would be a short-term fix, he implied. McKinley, who asked that this letter be made “easily accessible” for his reference, could only read it as arguing that Spain, corrupt and in irreversible decline, could not be trusted to undertake real Cuban reforms.","['January', 'February 1898', 'January 12', 'late February']",turn war occur january february 1898 january 12 spanish army officer destroy cuban newspaper attack weyler street riot erupt havana madrid disavow attack promise calm mckinley apparently begin assume point spain longer maintain order dispatch warship maine havana harbor ostensibly goodwill visit reality protect u.s citizen property late february president ’s view spain reinforce long letter e. a. fuerte professor engineering cornell university fuerte write “ spain stand volcano break fearful eruption need misstep precipitate desolating revolution french frontier mediterranean ” familiar iberian peninsula fuerte emphasize spain politically isolated europe “ foreign war tide spain present crisis ” short term fix imply mckinley ask letter “ easily accessible ” reference read argue spain corrupt irreversible decline trust undertake real cuban reform,121,[1898],1898,1,1900,1900
573,"The ship’s sinking created the battle cry of the 1898 war (“Remember the Maine!”), but it did not determine McKinley’s diplomacy. Nor did the yellow-press journalism cry for war, generated by a circulation race between Joseph Pulitzer’s New York World and William Randolph Hearst’s Journal, push the president and the nation into conflict. McKinley refused to read sensational newspapers; in any case, the press had been demanding war since 1895 without effect. The president’s policies began to move in February and March through a careful process that in the end took a united nation into battle and did so completely on his own terms.","['1898', '1895', 'February and March']",ship ’s sinking create battle cry 1898 war “ remember maine ” determine mckinley ’s diplomacy yellow press journalism cry war generate circulation race joseph pulitzer ’s new york world william randolph hearst ’s journal push president nation conflict mckinley refuse read sensational newspaper case press demand war 1895 effect president ’s policy begin february march careful process end take united nation battle completely term,65,"[1898, 1895]",1896,2,1900,1900
574,"The Philippine plans did not come out of the blue. The war objectives of the U.S. navy had long targeted the Philippines in case of war with Spain. Roosevelt briefed McKinley about the islands during relaxing buggy rides around Washington. On January 14, 1898, Roosevelt handed Long a nine-page letter outlining war preparations. A month later, while Long was away, Roosevelt sent orders to Admiral George Dewey of the Pacific fleet to prepare to attack Manila in case of war, and he also put other units on alert. The next day the surprised Long and McKinley quickly rescinded much of Roosevelt’s handiwork, but they approved the orders to Dewey. By April, war preparations were moving ahead, and Dewey was prepared to seize one of the most strategic points in the Asian region. McKinley was maneuvering the United States into position to deal simultaneously with crises in Cuba and China.15","['January 14, 1898', 'A month later', 'The next day', 'April']",philippine plan come blue war objective u.s navy long target philippine case war spain roosevelt brief mckinley island relax buggy ride washington january 14 1898 roosevelt hand long page letter outline war preparation month later long away roosevelt send order admiral george dewey pacific fleet prepare attack manila case war unit alert day surprised long mckinley quickly rescind roosevelt ’s handiwork approve order dewey april war preparation move ahead dewey prepared seize strategic point asian region mckinley maneuver united state position deal simultaneously crisis cuba china.15,86,[1898],1898,1,1900,1900
575,"On March 25, 1898, McKinley received a telegram from a political adviser and journalist in New York City, W. C. Reick: “Big corporations here now believe we will have war. Believe all would welcome it as relief to the suspense.” Trade journals were declaring that the chance of war had “stimulated the iron trade,” “been beneficial to the railroads,” and could “very decidedly enlarge the business of transportation.” Whitelaw Reid, the powerful publisher of The New York Tribune, took a cross-country trip and then assured McKinley on March 8 that “the more intelligent classes” cared little about “the sensational press” but would follow McKinley wherever he led, even if it meant war. If the leading business voices were ready for war, major Protestant religious bodies positively embraced it. McKinley, a devout Christian who paid attention to church leaders, and his political crony Mark Hanna were amazed at the outpouring of war spirit once Roman Catholic Cuba and the Philippines seemed to be obtainable. As one Methodist journal phrased it, “Our cause will be just…. Every Methodist preacher will be a recruiting officer.”16","['March 25, 1898', 'March 8']",march 25 1898 mckinley receive telegram political adviser journalist new york city w. c. reick “ big corporation believe war believe welcome relief suspense ” trade journal declare chance war “ stimulate iron trade ” “ beneficial railroad ” “ decidedly enlarge business transportation ” whitelaw reid powerful publisher new york tribune take cross country trip assure mckinley march 8 “ intelligent class ” care little “ sensational press ” follow mckinley lead mean war lead business voice ready war major protestant religious body positively embrace mckinley devout christian pay attention church leader political crony mark hanna amazed outpouring war spirit roman catholic cuba philippine obtainable methodist journal phrase because … methodist preacher recruiting officer.”16,115,[1898],1898,1,1900,1900
576,"In the end, McKinley sought war and domination in the Caribbean and the southern Pacific. His concern for order was strictly secondary. Indeed, if he sought stability, it was mostly at home, and for that he needed war and an extended military commitment to the two theaters. Only then, he believed, could he protect U.S. property in Cuba, stop the interminable and unsettling rebellion, and work with the British and Japanese to protect the Open Door in a crumbling China. If he had truly sought order, he had other alternatives, notably allowing Spain to try to crush the rebellion as it had in the 1870s, or recognizing the Cuban revolutionary government and allowing it to govern its own homeland. He did neither.",['the 1870s'],end mckinley seek war domination caribbean southern pacific concern order strictly secondary seek stability home need war extended military commitment theater believe protect u.s property cuba stop interminable unsettling rebellion work british japanese protect open door crumble china truly seek order alternative notably allow spain try crush rebellion 1870s recognize cuban revolutionary government allow govern homeland,56,[1870],1870,1,1875,1900
577,"As a result of McKinley’s foreign policy choices in early 1898, the United States first went to war, then became responsible for a series of interventions in Cuba to protect U.S. interests, and next sank into a decade-long involvement in Asia that led to more war, conflict with Japan and Russia, and the acceleration of the Chinese revolution. The United States willingly assumed such burdens, never considered retreating from either Cuba or Asia, and accepted both war and revolution not in the naïve belief that they somehow produced order, but in the confidence that if properly exploited, they could produce more American power and opportunities. For such power and opportunities, disorder was a small price to pay.","['early 1898', 'decade']",result mckinley ’s foreign policy choice early 1898 united state go war responsible series intervention cuba protect u.s interest sink decade long involvement asia lead war conflict japan russia acceleration chinese revolution united state willingly assume burden consider retreat cuba asia accept war revolution naïve belief produce order confidence properly exploit produce power opportunity power opportunity disorder small price pay,60,[1898],1898,1,1900,1900
578,"The president used the war and his wartime powers to obtain the prize that he and his Republican party had sought since the days of Harrison, if not of Seward. In May 1898, McKinley asked Congress to pass a joint resolution to annex Hawaii. It was not his first try. In 1897 he had used the more traditional (and constitutional) approach of trying to obtain a two-thirds vote of the Senate to ratify an annexation treaty. His arguments were strong. For one, Hawaii was dominated by white planters who used the islands as an extension of the frontier in Oregon and California: In 1890 they sent 224 million pounds of sugar to the mainland; in 1896, 352 million pounds; and by 1898, shipments soared to a half-billion pounds. Hawaii’s sugar plantations were capitalized at $36.8 million; of this, $21.7 million was controlled by Americans, who also dominated the islands’ trade. For another, the Japanese population had grown to 24,000, or about one-quarter of the entire population, and was increasing rapidly. When the Japanese had arrived initially in large numbers during the mid-1880s, the Hawaiian king welcomed them as newcomers who would counterbalance the whites. Instead, the new immigrants became subjugated labor. Nevertheless, by 1890 whereas Hawaiians made up about 45 percent of the islands’ population, Chinese and Japanese accounted for 33 percent, and whites 21 percent. When McKinley moved to annex Hawaii in 1897, the Japanese government strongly objected. The situation grew so tense that the president dispatched the new battleship Oregon to Honolulu and secretly ordered the navy to seize the islands if Japan made any attempt to use force.","['the days', 'May 1898', '1897', '1890', '1896', '1898', 'the mid-1880s', '1890', '1897']","president war wartime power obtain prize republican party seek day harrison seward 1898 mckinley ask congress pass joint resolution annex hawaii try 1897 traditional constitutional approach try obtain third vote senate ratify annexation treaty argument strong hawaii dominate white planter island extension frontier oregon california 1890 send 224 million pound sugar mainland 1896 352 million pound 1898 shipment soar half billion pound hawaii ’s sugar plantation capitalize 36.8 million 21.7 million control american dominate islands’ trade japanese population grow 24,000 quarter entire population increase rapidly japanese arrive initially large number mid-1880 hawaiian king welcome newcomer counterbalance white instead new immigrant subjugate labor 1890 hawaiian 45 percent islands’ population chinese japanese account 33 percent white 21 percent mckinley move annex hawaii 1897 japanese government strongly object situation grow tense president dispatch new battleship oregon honolulu secretly order navy seize island japan attempt use force",143,"[1898, 1897, 1890, 1896, 1898, 1880, 1890, 1897]",1893,8,1900,1900
579,"Despite the economic ties and Japanese threats, however, opponents stalled the annexation treaty. They argued it would require an even more expensive navy to protect the territory; that it would be the first step toward colonialism and the destruction of the Constitution (which, they believed, could not easily extend across large expanses of water and over heavily multiracial populations); and that the United States already effectively controlled Hawaii anyway. Opposition was especially strong from antiimmigrant groups in California, sugar-beet interests, and organized labor, which feared an influx of cheap Asian workers. Congress adjourned in 1897 without acting on the pact.23",['1897'],despite economic tie japanese threat opponent stall annexation treaty argue require expensive navy protect territory step colonialism destruction constitution believe easily extend large expanse water heavily multiracial population united state effectively control hawaii opposition especially strong antiimmigrant group california sugar beet interest organize labor fear influx cheap asian worker congress adjourn 1897 act pact.23,54,[1897],1897,1,1900,1900
580,"McKinley resubmitted his proposal to Congress to annex the islands in May 1898. Conditions had transformed. The president demanded Hawaii as a necessary military base en route to Manila and Shanghai. (Opponents argued in vain that the circle route via the Aleutians, not Hawaii, was the shortest path to Chinese ports.) Japan, moreover, was reeling from German and Russian moves in China, and now, with a new, pro-U.S. government, made overtures for cooperation to Washington by withdrawing its objection to annexation. Missionaries, who had initially led the white settlements on Hawaii, demanded annexation so that the islands could become “a base of operations for the enterprise of universal evangelization.” In the House, the tough, antiexpansionist speaker, Thomas B. Reed (R.-Maine), held up debate for three weeks until McKinley threatened to use his war powers to seize Hawaii. The resolution then passed after four days of debate, 209–91. In a free-for-all secret Senate debate, Henry Cabot Lodge charged that other powers in addition to Japan were waiting to seize the islands. He doubtless had Germany in mind. Opponents warned that annexation would open “a second avenue of conquest” for the United States that would lead to “the Philippines next. Part of Asia next. Where will be the limits?” But McKinley had boxed them in. He privately stated his argument succinctly: “We need Hawaii just as much and a good deal more than we did California. It is manifest destiny.” His resolution received a bare two-thirds vote in the Senate.24","['May 1898', 'three weeks', 'four days']",mckinley resubmitt proposal congress annex island 1898 condition transform president demand hawaii necessary military base en route manila shanghai opponent argue vain circle route aleutian hawaii short path chinese port japan reel german russian move china new pro u.s government overture cooperation washington withdraw objection annexation missionary initially lead white settlement hawaii demand annexation island “ base operation enterprise universal evangelization ” house tough antiexpansionist speaker thomas b. reed r .- maine hold debate week mckinley threaten use war power seize hawaii resolution pass day debate 209–91 free secret senate debate henry cabot lodge charge power addition japan wait seize island doubtless germany mind opponent warn annexation open “ second avenue conquest ” united state lead “ philippine asia limit ” mckinley box privately state argument succinctly “ need hawaii good deal california manifest destiny resolution receive bare third vote senate.24,141,[1898],1898,1,1900,1900
581,"On July 31, 1898, McKinley indeed prepared to take the Philippines next, or at least a strategic part of them. At this point, he seemed unsure whether he would take only the port of Manila, which he and such advisers as Mahan preferred, or whether he would have to take all the Philippines to secure Manila. What was clear was his determination to keep all that his forces had conquered until he made a careful analysis of the overall situation. He had no doubt that he did not want all of Spain’s Pacific and Caribbean possessions, only, as affairs stood at the end of the war, Manila, Cuba, and Puerto Rico; that is, he was determined to control the Caribbean and its entry points to a possible isthmian canal in Central America, and equally committed to possess a major naval base from which he could quickly dispatch troops to fight, if necessary, for an open door to China’s markets.","['July 31, 1898', 'the end of the']",july 31 1898 mckinley prepare philippines strategic point unsure port manila adviser mahan prefer philippine secure manila clear determination force conquer careful analysis overall situation doubt want spain ’s pacific caribbean possession affair stand end war manila cuba puerto rico determine control caribbean entry point possible isthmian canal central america equally committed possess major naval base quickly dispatch troop fight necessary open door china ’s market,66,[1898],1898,1,1900,1900
582,"Cuba had been a prime target of American expansionists since the days of John Quincy Adams. The “apple,” as Adams called it, had now fallen. Ironically, however, U.S. leaders no longer wanted to hold it. Its racial mixture, its advanced independence movement, and attendant constitutional problems in Washington made absorption unappealing. Its ninety-mile proximity to the United States, moreover, seemed to make annexation unnecessary. Control could be exerted more indirectly and cheaply. Certainly McKinley wanted control. As Mahan explained in an 1897 essay, the island’s domination of three of the four main communication routes in the Caribbean, its short interior lines between ports, its long coastline and many harbors that made blockade nearly impossible – these strategic reasons and the $50 million in U.S. investments in the rich sugar and mining businesses made control necessary.25","['the days', '1897']",cuba prime target expansionist day john quincy adams “ apple ” adams call fall ironically u.s leader longer want hold racial mixture advanced independence movement attendant constitutional problem washington absorption unappealing ninety mile proximity united state annexation unnecessary control exert indirectly cheaply certainly mckinley want control mahan explain 1897 essay island ’s domination main communication route caribbean short interior line port long coastline harbor blockade nearly impossible – strategic reason 50 million u.s investment rich sugar mining business control necessary.25,80,[1897],1897,1,1900,1900
